City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Port Hardy,CA,2021-10-25 23:49:52,50.6996,-127.4199,51.8,87,90,17.27,light intensity shower rain
201,Haines Junction,CA,2021-10-25 23:49:52,60.7522,-137.5108,30.15,69,100,1.14,overcast clouds
202,Port Macquarie,AU,2021-10-25 23:45:27,-31.4333,152.9167,69.89,55,39,6.71,scattered clouds
203,Lebu,CL,2021-10-25 23:45:57,-37.6167,-73.65,52.38,93,6,13.33,clear sky
204,Muzhi,RU,2021-10-25 23:49:53,65.3667,64.6667,19.54,77,34,9.48,scattered clouds
205,Kinablangan,PH,2021-10-25 23:49:54,7.6947,126.5503,80.82,82,99,3.62,overcast clouds
206,Bonavista,CA,2021-10-25 23:45:26,48.6499,-53.1147,41.11,67,94,17.78,overcast clouds
207,Caravelas,BR,2021-10-25 23:49:55,-17.7125,-39.2481,75.15,93,100,4.27,overcast clouds
208,Mapiripan,CO,2021-10-25 23:49:57,2.8892,-72.1256,73.89,96,98,6.17,moderate rain
209,Penzance,GB,2021-10-25 23:49:59,50.1186,-5.5371,54.77,85,96,13.38,overcast clouds
210,Leh,IN,2021-10-25 23:50:00,34.1667,77.5833,26.04,70,20,1.9,few clouds
211,Lazaro Cardenas,MX,2021-10-25 23:50:00,17.9583,-102.2,76.64,87,100,6.58,overcast clouds
212,Santa Isabel Do Rio Negro,BR,2021-10-25 23:50:01,-0.4139,-65.0192,77.04,92,99,1.72,overcast clouds
213,Malanje,AO,2021-10-25 23:50:02,-9.5402,16.341,63.9,94,87,1.5,overcast clouds
214,Erenhot,CN,2021-10-25 23:50:03,43.6475,111.9767,37.71,53,0,6.89,clear sky
215,Paamiut,GL,2021-10-25 23:50:04,61.994,-49.6678,36.46,58,22,8.72,few clouds
216,Christchurch,NZ,2021-10-25 23:50:04,-43.5333,172.6333,73.02,72,75,1.01,broken clouds
217,Fukue,JP,2021-10-25 23:50:05,32.6881,128.8419,61.16,94,20,2.3,few clouds
218,Husavik,IS,2021-10-25 23:50:06,66.0449,-17.3389,28.31,77,93,5.88,overcast clouds
219,Pulivendla,IN,2021-10-25 23:50:06,14.4167,78.2333,73.67,80,26,3.2,scattered clouds
220,Birecik,TR,2021-10-25 23:50:07,37.0294,37.9903,61.81,38,81,9.04,broken clouds
221,Zdvinsk,RU,2021-10-25 23:50:09,54.7021,78.661,45.07,58,100,9.93,overcast clouds
222,Bilibino,RU,2021-10-25 23:50:09,68.0546,166.4372,-10.3,92,99,1.86,overcast clouds
223,Evensk,RU,2021-10-25 23:50:10,61.95,159.2333,17.49,77,52,5.21,broken clouds
224,Goderich,CA,2021-10-25 23:50:11,43.7501,-81.7165,43.92,87,100,14.97,light rain
225,Astana,KZ,2021-10-25 23:50:11,51.1801,71.446,39.15,70,0,6.71,clear sky
226,Ous,RU,2021-10-25 23:50:12,60.9058,61.5186,25.09,76,12,7.7,few clouds
227,Granadilla De Abona,ES,2021-10-25 23:50:13,28.1188,-16.576,68.83,67,40,11.5,scattered clouds
228,Tiksi,RU,2021-10-25 23:50:14,71.6872,128.8694,2.05,96,99,4.81,overcast clouds
229,Port Blair,IN,2021-10-25 23:50:14,11.6667,92.75,80.35,81,94,6.24,overcast clouds
230,Ucluelet,CA,2021-10-25 23:46:35,48.9329,-125.5528,53.1,89,100,4.0,overcast clouds
231,Bandarbeyla,SO,2021-10-25 23:47:45,9.4942,50.8122,75.92,83,52,4.14,broken clouds
232,Cuiluan,CN,2021-10-25 23:50:16,47.72,128.648,45.9,81,92,5.44,overcast clouds
233,Salalah,OM,2021-10-25 23:50:16,17.0151,54.0924,74.84,72,68,1.25,broken clouds
234,Corcoran,US,2021-10-25 23:50:17,36.098,-119.5604,62.69,73,74,10.29,broken clouds
235,Cordoba,AR,2021-10-25 23:45:27,-31.4135,-64.1811,80.42,22,0,10.36,clear sky
236,Avera,US,2021-10-25 23:50:18,33.194,-82.5271,74.71,82,49,7.31,scattered clouds
237,Jinchang,CN,2021-10-25 23:50:19,38.4953,102.1739,43.23,61,98,1.68,overcast clouds
238,Mawlaik,MM,2021-10-25 23:50:19,23.6333,94.4167,70.92,95,70,1.07,broken clouds
239,Richards Bay,ZA,2021-10-25 23:50:20,-28.783,32.0377,63.28,96,100,5.77,moderate rain
240,Ramnagar,IN,2021-10-25 23:50:20,29.4,79.1167,61.48,67,0,4.72,clear sky
241,Broken Hill,AU,2021-10-25 23:50:21,-31.95,141.4333,65.91,20,0,10.36,clear sky
242,Oyonnax,FR,2021-10-25 23:50:22,46.2592,5.6573,47.07,81,84,1.61,broken clouds
243,Namikupa,TZ,2021-10-25 23:50:22,-10.8333,39.6,72.27,94,70,4.18,broken clouds
244,Hamilton,US,2021-10-25 23:46:30,39.1834,-84.5333,54.25,92,90,1.01,light intensity drizzle
